ID,1.10 Do you find Rust's lifetime rules confusing when programming in Rust?,1.11 Do you find Rust's ownership rules confusing when programming in Rust?,"1.12 Do you understand the error messages provided by the Rust compiler, when your code violates lifetime rules?","1.13 Do you understand the error messages provided by the Rust compiler, when your code violates ownership rules?","1.14 Besides lifetime and ownership, please write down other language features of Rust that confuse you when you program with Rust.",PA Answer,PB Answer,Which PC?,PC.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PC.Q1 rating,"PC.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PC.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PC.Q3 rating,"PC.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PC.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PC.Q6 (f. In your own words, please explain the above compiler error.)",PC.Q6 rating,Which PD?,PD.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PD.Q1 rating,"PD.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PD.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PD.Q3 rating,"PD.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PD.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PD.Q6 (f. In your own words, please explain the above compiler error.)",PD.Q6 rating
1,Sometimes,Sometimes,Most of the time,Sometimes,nothing else really confuses me much with the language. It's very well put together,No,Yes,C1,"128: out1.a[1],136: out2.a.1",0.5,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,You can't borrow the same structure more than once using different types of mutability. This violates the safety rules because you can have a mutable pointer and a immutable pointer to the same data type. Rust is highlighting this code because you are already doing a mutable borrow of the datastructure attribute in the first argument so you can reference that same structure in the next argument as non mutable,5.8,D3,"95: &'a,96: Foo,108: bar.x",0,6,cannot move out of [X] which is behind a mutable reference,0,2,4,You can't borrow a mutable reference to the same location of memory twice because it may have changed location after the first reference is taken.,4.2
2,Most of the time,Sometimes,Sometimes,Most of the time,Asyncronous rust features~$br$~,No,Yes,C2,119: mut,0,5,cannot borrow [X] as immutable because it is also borrowed as mutable,0,4,4,-> 'test's first parameter takes an instance of 'Inner'~$br$~-> second parameter takes a mutable reference~$br$~-> field a from out1 seems to be moved as a whole and not its value at index 1~$br$~-> if first parameter's instance is identical with the second one -> borrow checker error occurs because test can't take a mutable ref to a moved value~$br$~~$br$~,4.2,D1_e,118: let,0,5,the trait `Copy` may not be implemented for this type,0,7,8,Method f1 takes a mutable reference of self for lifetime 'b (until bar2 gets out of scope). As f1 gets called a second time it violates Rust's single mutable reference rule because the first mutable reference is garanteed to live as long as Bar2's lifetime.,10
3,Most of the time,Sometimes,Sometimes,Most of the time,Readability compared to Python.~$br$~Implementing Rust to embedded specially controllers which not supported by LLVM.,No,Yes,C1_e,"127: &,128: out1.a[1]",1,6,Prefer not to answer,0,7,8,Little confused need more time to review,0,D3,"134: &mut,135: bar2);",1,7,cannot borrow [X] as mutable more than once at a time,1,3,8,Mutable borrow can't done more than one time.,5.8
4,Never,Never,Most of the time,Always,sync within async and async within sync or the mix of it since you can't spawn an executor within an executor,No,Yes,C2,"24: a:,25: [Inner;,26: 2],117: out1.a[1],,120: out1.a[0].in_a",0.25,6,cannot borrow [X] as immutable because it is also borrowed as mutable,0,2,9,The trait does not implement Copy and it is using the inner value from an array which requires moving the value out of the array.,7.6,D1_e,"37: mut,116: bar2.f1();,121: bar2.f1();",1,8,cannot borrow [X] as mutable more than once at a time,1,3,7,"bar2 was borrowed mutably twice which violates the ownership rule, not quite sure about the lifetime part but it is used to show the lifetime of borrowed bar2.",7.6
5,Most of the time,Sometimes,Most of the time,Most of the time,async rust,No,Yes,C2,119: mut,0,3,cannot borrow [X] as immutable because it is also borrowed as mutable,0,7,3,I thought another mistake but this is too difficult for me,0,D3,134: &mut,1,7,Prefer not to answer,0,7,3,I know it is connected to lifetime but can not explain it :(,3
6,Never,Never,Always,Most of the time,None,No,Yes,C1,99: Outer2,0,10,cannot return value referencing local variable [X],0,10,10,The error is difficult to identify since I am not a pro.  I believe maybe java  could get the work done with less complications,0,D1_e,106: bar2.f2(,0,10,cannot use [X] because it was mutably borrowed,0,10,10,"I was not able to identify the error, It is a difficult one because you cannot borrow `bar2` as mutable more than once at a time.",5.8
7,Sometimes,Sometimes,Most of the time,Most of the time,macro~$br$~unsfae,No,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Something has been mutably borrowed, and later an immutable borrow of it occurs, then the mutable borrow is used again. This means the mutable borrow needs to live after the immutable borrow. This violates rust's safety rules.~$br$~~$br$~The compiler is helpfully highlighting all the precise points that are relevant to the error.",5.8,D2,"35: f1(,53: f2,120: bar2.f1();",0.5,8,the parameter type [X] may not live long enough,0,1,10,"calling f1() takes self, which essentially consumes bar2~$br$~so bar2 itself becomes invalid and can't be used any more.~$br$~~$br$~The compiler is explaining that bar2 has already been consumed and thus cannot be used again. And since the type isn't copy, it can't be trivially duplicated.",10
8,Never,Never,Most of the time,Always,can't think of any at the moment,No,Yes,C3,"94: out1.a[0].in_a;,105: &out1.a[1];,112: *r1,123: r2);",1,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,1,"when out1.a[<int>] is borrowed as either immutable or mutable, the rust language borrows all of out1.a since partial borrowing doesn't work with arrays. Therefore, the compiler complains that out1.a is borrowed both immutably and mutably since we created a mutable borrow on line 24 that is still a live variable due to the later use on line 28 when we try to borrow immutably on line 26.",10,D1_e,"93: bar2,116: bar2.f1();,121: bar2.f1();",0.6666666667,4,cannot use [X] because it was mutably borrowed,0,6,6,"since we marked self with lifetime 'b in the definition of f1 (this should probably be changed), this forces the lifetime of 'b to be the same as bar2's lifetime, making bar2 only be able to be mutably borrowed once with bar2's lifetime. we tried to mutably borrow bar2 twice, causing the error.",10
9,Sometimes,Sometimes,Most of the time,Most of the time,"When I program with Rust, I'd like to be able to write less verbosely. One of the things I feel is that writing Rust Code can sometimes get maddeningly long, which forces different formatting. I think, however, this is the syntax of the language, and since this isn't a scripting language, it's something I'm willing to live with.",Yes,No,C3,"103: r2,108: r4",0.5,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,7,"In Rust, we can't have a mutable reference and an immutable reference to the same object. So, in this code, we can't compile because there are both. to fix this, we should pick which type of reference we want.",5.8,D2,"118: z,119: =,120: bar2.f1();",1,7,lifetime of reference outlives lifetime of borrowed content,0,2,9,"Since Bar2 doesn't implement Copy at assignments, the value is moved to bar2. This means that the first call to f1 takes ownership of the value, which makes it impossible to run the second call. If Bar2 implemented the Copy trait, then this problem wouldn't happen, since it makes sense that the extensive copies can be acted on differently.",10
10,Most of the time,Never,Sometimes,Always,Lack of specification of what can be done in unsafe code safely,No,Yes,C3,105: &out1.a[1];,1,4,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,10,"The array 'a' of 'out2' has been borrowed mutably in line 24 and used in line 28, and so its lifetime is within this duration. When it is borrowed mutably (exclusive access), an attempt to borrow 'a' of 'out2' immutably happens at line 26, violating exclusive access given to 'r1'.",7.6,D2,120: bar2.f1();,1,2,use of moved value: [X],1,1,10,"Data structure 'Bar2' is not Copy. Ownership of instance 'bar2' is moved into its method 'f1' during the first call (instead of copied) into 'self' and subsequently dropped when 'f1' exits. The second attempt to use 'f1' fails because 'bar2' no longer have ownership of the original object, and cannot be moved into 'self'.",10
11,Never,Never,Most of the time,Always,"Macros, mostly because I haven't invested the time to learn them.",No,Yes,C1_e,128: out1.a[1],1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,9,"The rust compiler considers the entire array to be borrowed even when only specific elements are borrowed. As the borrow of the zeroth element is mutable, the entire array is considered to be exclusively borrowed. The immutable borrow to the first element then fails.~$br$~~$br$~The second call is accepted as the fields are determined to be disjoint, and can be borrowed concurrently.",10,D3,"56: &Bar2,",0,7,wrong number of type arguments,0,1,9,"Only a single mutable borrow at a time is allowed. bar2 is borrowed mutably by the first call to the closure f3, then again by the second call to f3.~$br$~~$br$~The rust compiler cannot guarantee the first mutable borrow ends before the second mutable borrow, so it fails to compile.",5.8
12,Sometimes,Never,Most of the time,Always,Variance and implied bounds,No,Yes,C3,123: r2);,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,6,6,"When indexing an array (e.g. 'out1.a[0]'), the entire array is borrowed, not just the element being indexed. In general, it is impossible to determine at compile time if two array indices are the same, so the compiler conservatively causes '&mut out1.a[0]' and '&out1.a[1]' to cause borrows of the entire array 'out1.a'.~$br$~~$br$~From this point on, this is a standard borrow-checker error - a mutable borrow is obtained, an immtuable borrow to same location is obtian, and then the original mutable borrow is used. The usage of the immutable borrow 'invalidates' the mutable borrow, causing an error when it is used again.",10,D3,"134: &mut,135: bar2);",1,8,cannot borrow [X] as mutable more than once at a time,1,10,2,"This errors occurs due to the lifetime bounds in the function pointer 'f3'. The lifetime 'a in `&'a mut Bar2<'a>` in two places - the outer mutable reference, and the generic lifetime argument to 'Bar'. This requires that the mutable borrow of `Bar2 live as long as the reference stored by 'Bar'.~$br$~~$br$~Since the lifetime of the 'x' field in 'bar2' is tied to the reference to the local variable 'foo', it lives longer than just the call to 'f3'. Since the mutable reference to Bar2 is required to have the same lifetie as the reference to 'foo', the mutable reference remains active even after the call to 'f3' finishes. This results in a lifetime error if 'bar2' is later used again.",10
13,Most of the time,Never,Most of the time,Always,None that I can think of.,No,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Rust doesn't allow you to borrow any reference as a mutable and immutable simultaneously in the same scope. This prevents any shared read guarantee violations promised to the immutable borrow. However, this instance of code might confuse some readers into believing that just because the immutable and mutable borrows occur in different indices of out1 and out2, that this code should've compiled, because we know there is no mutation of any immutable value. But rust, doesn't see it that way, it only checks if out1 and out2, as a whole, have a &mut or & borrow, resulting in this error.",5.8,D2,120: bar2.f1();,1,5,use of moved value: [X],1,1,10,"fn f1(self) -> i32 {} is the source of the error. A method that takes 'self' is a method that takes the instance of the struct by value, hence causing a move. Had the method been a &self, this error could've been avoided.~$br$~",6
14,Never,Never,Most of the time,Most of the time,mutability,No,Yes,C3,"102: let,103: r2,104: =,105: &out1.a[1];",1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,9,9,"When a element of an array be borrowed, the total array will be counted.",8.4,D3,41: mut,0,7,Prefer not to answer,0,8,8,"At the first call `let _r = f3(&mut bar2);`, the compiler only known the `_r` should be released, but can not judge whether the `&mut bar2` could be released.",3
15,Sometimes,Never,Most of the time,Always,There are no significant language features in Rust that confuse me on a regular basis,No,Yes,C2,"117: out1.a[1],",1,4,"cannot move out of  [X], a non-copy [X]",1,2,9,"You can't move one item out of an array, only the entire array: I can't move out of element 1 while also borrowing element 0.~$br$~~$br$~By contrast, I can move one item out of a tuple. Element 0 and element 1 in the tuple are tracked independently by the compiler.",8.4,D1_e,40: &'b,0,9,lifetime of reference outlives lifetime of borrowed content,0,2,6,"The lifetime of the value returned on line 30 is bound to the lifetime 'b, which matches the scope of the foo variable, ie the entire function f4. The compiler cannot infer a shorter lifetime for the (temporary) return value on line 30, because lifetimes involved in mutable references are not covariant. The compiler's ~$dq$~note~$dq$~ hints at this, but does not precisely spell out the problem, or suggest a fix.~$br$~~$br$~Note that introducing a shorter covariant lifetime to function f1 would allow this to compile: fn f1(&'a mut self) -> &'a Foo",7.6
16,Sometimes,Never,Most of the time,Always,"- A couple of the more complex standard library types such as Cow<_, B> and Atomics~$br$~- async and Futures",No,Yes,C2,"120: out1.a[0].in_a,127: out2.a.0.in_a",0,6,use of moved value: [X],0,8,7,"I do not understand why this is the error shown. I expected that it would complain about the mutable borrows because out1 and out2 had already been moved, as inner does not implement Copy (my understanding is that moving any one field from a struct moves the whole struct).",4.2,D1,121: bar2.f1();,1,9,cannot use [X] because it was mutably borrowed,0,8,7,"On line 30, bar2 is borrowed mutably during the call to f1. f1 returns a borrow of some other ~$dq$~data~$dq$~ that is held by bar2. This means that after the call to f1, the borrow of bar2's data is still held by f4. Mutably borrowing bar2 again (by calling f1) would result in a mutable borrow and an immutable borrow being held simultaneously, which is an illegal according to rust's borrowing rules.",6
17,Sometimes,Never,Most of the time,Most of the time,How to work with heap allocation,No,Yes,C3,"99: &mut,100: out2.a.0.in_a;",0,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,7,8,"In line 24: ~$dq$~r1 = &mut out1.a[0]~$dq$~ r1 already borrow a mutable a element of out1, therefore, in line 26, the error happens due to r1 is kind of owning the reference.",4.2,D1_e,116: bar2.f1();,1,9,the parameter type [X] may not live long enough,0,5,8,"In line 30, we have borrowed a mutable reference, which line 31 again borrows a mutable reference that can live different to the one in line 30",5.8
18,Sometimes,Never,Most of the time,Always,proc_macro::Span when writing procedural macro. E0207 when implementing traits.,No,No,C2,"117: out1.a[1],",1,3,"cannot move out of  [X], a non-copy [X]",1,3,1,"test takes first argument by value, so out1.a[1] should be moved. But without first moving the whole array and disassembling it, one cannot move a single entry out of the array unless it is ~$dq$~Copy~$dq$~. Because the compiler cannot argue that all the move of elements within an array is disjoint.",10,D1,121: bar2.f1();,1,10,the parameter type [X] may not live long enough,0,10,2,"The lifetime annotation in f1 expands the lifetime of the input mutable reference to be the same as 'b, so the first call to f1 expands the lifetime of &mut bar2 to the end of the function, but the second call is within the scope, which violates the aliasing rule: no two mutable reference at the same time.",7.6
19,Never,Never,Always,Always,I had trouble fully understanding `Pin` and `Send` / `Sync` traits at first.,No,Yes,C1,"125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1]",1,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Borrowing an element from a collection requires borrowing the whole collection in current Rust version (I hope this will be improved one day in trivial cases like this one).~$br$~As such, the same field (`a` from `out1`) is borrowed twice including a mutable borrow (`&mut out1.a[0].in_a`). Iterators API can be used to prove to the compiler there is no ownership issue.",10,D2,"117: let,118: z,119: =,120: bar2.f1();",1,1,use of moved value: [X],1,1,10,"The compiler error here explains it very clearly I think, but to put in other words: Bar2 is not a Copy type, as such there is no implicit copy (useful for trivial types composed of only a few bytes such integers). This means that when a function takes an owned Bar2 (by the way, Bar2 contains a reference to a then borrowed Foo, but Bar2 itself can be owned nonetheless), the structure is said to be ~$dq$~moved~$dq$~ and ownership transferred. It cannot be used anymore using the previous label (bar2 variable in our main scope).~$br$~This is what allows Rust to prevent use after free bugs at compile time.",10
20,Sometimes,Never,Most of the time,Always,"Macros, in all of their several forms, are still confusing. Each form has its own issues with readability and ease of understanding.",No,Yes,C1_e,"125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1],133: &mut,134: out2.a.0.in_a,,135: &,136: out2.a.1",0.5,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,10,"The above is a compiler error because the array field in `Outer1` is borrowed immutably and mutable at the same time. Rust doesn't allow you to have a mutable borrow that overlaps with any other borrow. The compiler highlights the mutable borrow (and its later use) in blue, and the immutable borrow in red.~$br$~~$br$~The compiler error shows a shortcoming of rust's safety rules when it comes to indexing, in that it is too strict. It is perfectly safe to mutably access disjoint indices of an array. There's even a convenient method in the standard library to do so: https://doc.rust-lang.org/stable/std/primitive.slice.html#method.split_at_mut~$br$~~$br$~The above error has to exist because implementations of the `Index` trait *could* choose to return the same item for different given indices, which would allow overlapping mutable references.",10,D1_e,"36: &'b,116: bar2.f1();,121: bar2.f1();",1,3,cannot use [X] because it was mutably borrowed,0,7,3,"Writing `fn f1(&'b mut self)` means that you are mutably borrowing an item, and that the mutable borrow should last for the entire lifetime of the item. As a result, you can't borrow that item ever again, mutably or immutably, because the first mutable borrow will still be active. It essentially makes the item unusable, which is almost never wanted.~$br$~~$br$~This is a very common mistake people make when trying to explicitly write out elided lifetimes, and the compiler error could use some work.",7.6
21,Most of the time,Sometimes,Most of the time,Most of the time,Some of the semantics surrounding option types,No,No,C3,25: [Inner;,0,10,Prefer not to answer,0,4,8,"We borrowed it once as mutable, so we have no guarantees that its content is still what we expect it to be, or even that it's still there. We can't borrow it again. ",5.8,D3,135: bar2);,1,10,cannot borrow [X] as mutable more than once at a time,1,2,8,We tried to transfer ownership to two different functions. This doesn't work unless we're passing references (?) in.,3
22,Sometimes,Sometimes,Most of the time,Most of the time,"traits part, the substitute of classes implementation is very new (I'm new to programming in general)",No,Yes,C2,"124: out2.a.1,",0,10,Prefer not to answer,0,7,10,"I haven't really understood the error here, but the compiler has provided enough explanation for me to go search for a solution or understand the problem properly using internet or the rust book",0,D1_e,121: bar2.f1();,1,10,Prefer not to answer,0,10,10,"This program, I knew there was something wrong in the let z declaration, but couldn't realize until this compiler message was shown.~$br$~A memory location can have n number of immutable reference but only 1 mutable reference at any given point of the program. ",5.8
23,Sometimes,Sometimes,Most of the time,Most of the time,Scoping,Yes,Yes,C1,128: out1.a[1],1,5,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,7,The variable ~$dq$~out1.a[_]~$dq$~ cannot be borrowed as mutable and immutable simultaneously. This is due to the ownership system in Rust. The compiler has highlighted the error-causing reference in red.,5.8,D3,135: bar2);,1,9,cannot borrow [X] as mutable more than once at a time,1,1,8,"The variable ~$dq$~bar2~$dq$~ cannot be borrowed as a mutable more than once due to the borrowing system of Rust. The compiler has highlighted the first reference of ~$dq$~bar2~$dq$~ in blue, and the second reference in red as that is the one that is causing the error.",5.8
24,Sometimes,Never,Most of the time,Most of the time,"Sometimes, error messages regarding futures can be confusing, specially when Pin/Unpin is involved.",No,Yes,C1,127: &,1,5,cannot borrow [X] as immutable because it is also borrowed as mutable,1,5,10,"When borrowing values from a array, the array itself is actually borrowed, because the compiler has no way to check that one won't borrow the same index twice. Tuples on the other hand, can have values borrowed individually.",8.4,D1,47: self.x,0,6,cannot use [X] because it was mutably borrowed,0,3,10,There can only be at most one mutable reference to a given value at the same time. The rule is violated by attempting to call a function that borrows as mutable twice.,5.8
25,Sometimes,Never,Most of the time,Always,"HRTB, proc macros",No,Yes,C1_e,"125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1]",1,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"first &mut (unique) reference passed to test is derived from out1.a through indexing (indexing turns &'a mut T into &'a mut <T as core::ops::Index<_>>::Output i.e. lifetimes are the same) 'blocking' it (out1.a) until last usage (test call). then later another indexing can't succeed because it again needs to borrow out1.a violating the uniqueness of the first reference.~$br$~~$br$~with out2 there isn't such error since the compiler can figure out that different fields (.0, .1) are borrowed (tuple fields don't use indexing)",10,D3,108: bar.x,0,3,cannot move out of [X] which is behind a mutable reference,0,2,9,"bar2 value has type Bar<'0> where '0 is anonymous lifetime equal to the whole life of bar2.  f3 takes &'a mut Bar2<'a> which means that the lifetime of the reference and the lifetime of the referent object are the same. when f3 first called, 'a = '0, which means that f3 exclusively borrows bar2 for the whole lifetime of the variable. the second `&mut bar2` is violating the uniqueness of the first &mut (unique) reference.",10
26,Sometimes,Never,Most of the time,Most of the time,Async!,No,No,C1,"125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1],133: &mut,134: out2.a.0.in_a,,135: &,136: out2.a.1",0.5,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Rust borrowing rules state that you may have EITHER:~$br$~1. A unique mutable borrow~$br$~2. Any number of immutable borrows~$br$~for a given value.~$br$~~$br$~The pattern in lines 32 and 33 of using `&mut foo` and `&foo` simultaneously, then, clearly break those rules as we are obtaining a mutable borrow to an inner element of out1/2 _and_ an immutable borrow to the containing struct.",5.8,D2,"115: bar2.f1();,120: bar2.f1();",1,10,use of moved value: [X],1,1,10,"Bar2::f1 takes self by value, so when we call it we move self, therefore repeated calls of Bar2::f1 will always be invalid, since the struct is moved out of the calling scope.~$br$~~$br$~I think the example is hard to diagnose because of all the rest of the things going on in the code. I spent a long time looking at f2 making sure it was correct. ~$br$~",8.4
27,Sometimes,Never,Most of the time,Most of the time,None,No,Yes,C3,105: &out1.a[1];,1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,9,"While the members of struct 'Outer 2's member 'a' can be partially and therefore independently borrowed by 'r3' and 'r4' because they are struct fields (tuples are anonymous structs), the same doesn't apply to  'r1' and 'r2' because referencing is made by indexing which internally calls a function taking a mutable or immutable reference to the whole member 'a'. So 'r4' takes an immutable reference to 'Outer1.a' as a whole while being mutably referenced by 'r3' in the same context which contradicts the fundamental rule of at least one mutable reference in the same context of Rust.",10,D2,120: bar2.f1();,1,9,use of moved value: [X],1,7,6,As the compiler indicates in its last message the second call of function 'f1' on 'bar2' violates against Rust's ownership system because 'f1' consume itself. Therefore variable 'bar2' gets invalidated because it doesn't implement the 'Copy' trait. Implementing 'Copy' on Bar2 would be sufficient to make this example run.,10
28,Never,Never,Most of the time,Most of the time,nothing,No,Yes,C2,119: mut,0,3,cannot borrow [X] as immutable because it is also borrowed as mutable,0,2,9,"Two `Inner` are stored in the same array, and the compiler cannot prove at compile time that they will not overlap.",4.8,D2,120: bar2.f1();,1,1,use of moved value: [X],1,1,10,bar2 has been consumed at 30L.,6
29,Most of the time,Sometimes,Sometimes,Most of the time,Syntax for working with generics and traits; interior mutability; concurrency,No,No,C1,"126: out1.a[0].in_a,",1,10,"cannot move out of  [X], a non-copy [X]",0,4,8,Accessing the underlying array in the Outer1 struct requires ownership of the entire array; which means that we can't access it both mutably and immutably in our first test.,4.8,D1_e,73: s[..ind],0,10,cannot move out of [X] because it is borrowed,0,5,4,"On line 28, bar2 is mutably borrowed by f2. We can't borrow this again mutably on line 30 because of the ownership rules. Maybe?",5.8
30,Never,Never,Always,Always,"Before the 2018 edition, the way imports were styled â€” the module system was not easy to reason with.",No,Yes,C1,136: out2.a.1,0,5,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,8,"The first parameter borrows from the *array* mutably, then borrows from the same array (albeit a different element) immutably. The lifetimes of these borrows overlap, causing the compiler the reject the error. This is not the case for the tuple as elements are borrowed individually, not from the whole object (as is the case with arrays).",10,D1,121: bar2.f1();,1,3,cannot borrow [X] as mutable more than once at a time,1,2,10,"When `bar2.f1()` is called the first time, the result is that `bar2.x` is borrowed mutably. This borrow is not dropped until the end of the scope, which overlaps with the `let z = bar2.f1();` statement, which does the same. As an object can only be mutably borrowed once at any given point, this results in an error.",5.8
31,Always,Always,Always,Always,Asynchronous programming,No,Yes,C2,"117: out1.a[1],",1,7,"cannot move out of  [X], a non-copy [X]",1,6,8,Can not remove an element from an array arbitrarily.,4.8,D2,120: bar2.f1();,1,10,use of moved value: [X],1,6,7,N/A,0
32,Sometimes,Sometimes,Most of the time,Sometimes,Pattern matching~$br$~Guaranteed memory safety,No,No,C3,"112: *r1,116: *r3",0.5,4,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,5,cannot borrow `out1.a[..]` as immutable because `out1.a[..].in_a` is also borrowed as mutable,5.8,D3,"17: Bar2<'b>,108: bar.x",0,5,"closure may outlive the current function, but it borrows [X], which is owned by the current function",0,7,6,unit-like struct definition should be written as `struct Foo,3
