ID,1.10 Do you find Rust's lifetime rules confusing when programming in Rust?,1.11 Do you find Rust's ownership rules confusing when programming in Rust?,"1.12 Do you understand the error messages provided by the Rust compiler, when your code violates lifetime rules?","1.13 Do you understand the error messages provided by the Rust compiler, when your code violates ownership rules?","1.14 Besides lifetime and ownership, please write down other language features of Rust that confuse you when you program with Rust.",PA Answer,PB Answer,Which PC?,PC.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PC.Q1 rating,"PC.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PC.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PC.Q3 rating,"PC.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PC.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PC.Q6 (f. In your own words, please explain the above compiler error.)",PC.Q6 rating,Which PD?,PD.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PD.Q1 rating,"PD.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PD.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PD.Q3 rating,"PD.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PD.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PD.Q6 (f. In your own words, please explain the above compiler error.)",PD.Q6 rating
33,Sometimes,Never,Most of the time,Always,async/await,No,Yes,C1_e,"128: out1.a[1],136: out2.a.1",0.5,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,10,"The call accesses the array as mutable in the first argument and immutable in the second.  You are allowed many immutable reference to something, but only one reference if the reference is mutable.  As the error message says, an array can only be borrowed as a whole.~$br$~~$br$~I believe the compiler error is due to a limitation of the current borrow checker, since the arguments are different elements of the array.  I think this code will compile with Polonius, the next version of the borrow checker.  Also, note that the first argument is Copy, which is why it can be dereferenced in the function.",10,D3,131: z,0,10,lifetime of reference outlives lifetime of borrowed content,0,7,5,"I find the error confusing because the first call does not save the result, so I expect the scope of the mutable borrow would end before the next call.  I would not be surprised by the error if the first call assigned the return to a local variable, even _.~$br$~~$br$~Before NLL, the mutable borrow would not have ended until the end of scope. In that case, the error makes sense.  With NLL, it goes out scope on the last use, which is before the second call.~$br$~~$br$~My answer was related to putting a reference in a struct, something I have avoided in all but the simplest cases.",4.2
34,Sometimes,Sometimes,Most of the time,Most of the time,When return type is Future<...> it's very confusing to understand generated error,No,Yes,C2,"117: out1.a[1],",1,8,"cannot move out of  [X], a non-copy [X]",1,5,8,"Can't move variable out of immutable array. Also, struct doesn't implement Copy trait",6,D1_e,"55: (&self,",0,7,Prefer not to answer,0,3,8,"Previous line has borrowed bar2 mutably, so we can't do that again",5.8
35,Sometimes,Sometimes,Most of the time,Most of the time,"Complicated streams and iterators can be difficult to work with; https://github.com/jyn514/docs.rs/blob/29f1257e3584fe0c57fbf203f5a78c7419a648f8/src/docbuilder/rustwide_builder.rs#L226 probably doesn't *need* to use `collect()` to get rid of the `Result` in the iterator elements, but it makes the code a lot easier.~$br$~~$br$~I find async APIs difficult to write (mostly for the same reasons as above), and the error messages are frequently difficult to understand. I have trouble finding the methods I need; often this is because they come from an extension trait that isn't directly mentioned in the documentation.",No,Yes,C1_e,"125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1]",1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,8,"Rust lifetimes rules mean that values can be shared XOR mutable - because `out1.a` is borrowed mutably, it cannot be borrowed immutably. The reason it works for `out2` but not `out1` is because `out2` uses tuple fields instead of an array, so the compiler notices that the borrows are disjoint; it's not as smart for arrays. It helpfully says this in the `note`.~$br$~~$br$~A possible workaround is to use out2 instead of out1, or to move out of out1 so the compiler realizes the fields are disjoint:~$br$~`let (mut in_a, in_b) = (out1.a[0], out1.a[1]);`~$br$~(I don't recall off the top of my head if this works with indexing directly, but if not you could use a match expression.)",10,D2,120: bar2.f1();,1,2,use of moved value: [X],1,1,8,"`f2()` takes `bar2` by value. Since `bar2` does not implement Copy, it is moved into `f2` and so calling `bar2` a second time would be a use-after-free (although in this case `impl Drop for Bar2` is trivial, so it doesn't really matter). The easiest fix is to add `#[derive(Copy)]` to Bar2.",10
36,Sometimes,Sometimes,Sometimes,Most of the time,"dyn, complex trait bounds",Yes,Yes,C3,"102: let,103: r2,104: =,105: &out1.a[1];",1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,2,"Cannot borrow because when you borrow a single element from a vector, Rust borrows the entire vector. In the case of mutable borrow, the entire vector is mutably borrowed and further borrows may not occur.",10,D2,"106: ~$dq$~An,107: online,108: article~$dq$~,",0,8,lifetime of reference outlives lifetime of borrowed content,0,1,1,"f1() takes self, which consumes (moves) the ownership of bar2. fn1() would usually be responsible to re-return `self` so function chaining or reassigning bar2 variable with it would work",8.4
37,Sometimes,Sometimes,Most of the time,Most of the time,"Macros, modules, unsafe, traits",No,Yes,C2,120: out1.a[0].in_a,0,4,use of moved value: [X],0,4,10,"Since Inner is not Copy, moving will invalidate out1.a[1], but all entries of an array must be always valid.",10,D3,108: bar.x,0,10,cannot move out of [X] because it is borrowed,0,4,10,"The lifetime 'a in f3 means that the lifetime of the mutable borrow parameter bar of f3 lives as long as the reference bar.x, and since f3 is called twice while the reference bar2.x is valid, we have overlapping mutable borrows.",7.6
38,Most of the time,Sometimes,Sometimes,Most of the time,"I'm confused when it comes to container types in std::cell like Cell, RefCell, etc.",No,No,C1_e,"127: &,128: out1.a[1]",1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,9,"When calling test(), the scope created contains a mutable borrow of a struct field of an element of the array as well as an immutable borrow of another element of the same array. When the mutable borrow occurs on the array element struct field, the entire array is effectively borrowed mutably. Therefore, the 2nd immutable borrow even of a different element is prohibited by the borrow checker.",10,D3,108: bar.x,0,9,cannot move out of [X] which is behind a mutable reference,0,2,10,I got this one wrong as I believed that not capturing the return value of the first f3 call meant that the mutable borrow was no longer held at the point of the 2nd invocation. However in retrospect I now believe it is due to the lifetime annotations. The mutable borrow is explicitly taken in lifetime 'a via f3 and then in the same lifetime again at the 2nd invocation. However I'm not sure; I would rely on the compiler to help me in this case.,7.6
39,Sometimes,Sometimes,Most of the time,Most of the time,"- I don't ever need to use unsafe, but I struggle to understand all the rules of when unsafe code is Undefined Behavior.~$br$~- Related to lifetime/ownership, but specifically the interaction between generics, traits and async always leads to trouble for me",No,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,9,"line 24 causes r1 to take a mutable/exclusive borrow of out1 until line 28. While r1 has a mutable/exclusive borrow of out1, out1 can't be used by anything else. In this case, r2 is trying to take an immutable/shared borrow from out1 while r1 is still alive. ",5.8,D2,120: bar2.f1();,1,2,use of moved value: [X],1,1,10,A trait method with definition fn(self) will consume the object that the trait is implemented for. It does so because any function with an argument that is neither Copy nor a reference will consume will consume that argument (and make it unusable without having the method return it). Effectively the function takes ownership of that argument and so it must be specifically returned (and bound) in order to be able to use it again in the calling scope.,10
40,Most of the time,Most of the time,Sometimes,Sometimes,I am confused about some of the rules with mutable variables I get this error a lot when I'm trying to write functions...,Yes,No,C2,"117: out1.a[1],,120: out1.a[0].in_a,124: out2.a.1,,127: out2.a.0.in_a",0.3333333333,7,"cannot move out of  [X], a non-copy [X]",1,8,5,"Because the array has an inner trait, values from it cannot be copied over? ",3,D2,120: bar2.f1();,1,4,cannot use [X] because it was mutably borrowed,0,6,7,bar2 is moved by the f1() function which means it cannot be referenced again in this manner I think,8.4
41,Sometimes,Never,Most of the time,Most of the time,---,No,Yes,C3,105: &out1.a[1];,1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,7,- line 24 mutably borrows field a of instance out1 as a whole (index based accesses are trait implemented -> function call)~$br$~- line 26 immutably borrows field a of instance out1 as a whole which contradicts Rust's at most one mutable reference per scope rule (line 24 mutable borrow didn't fgo out of scope because of use in line 28),10,D2,120: bar2.f1();,1,6,use of moved value: [X],1,8,8,- calling method f1 on bar2 consumes the struct instance~$br$~- calling f1 a second time on bar2 uses a moved instance (moved out of scope)~$br$~- results in an ownership violation~$br$~- if Bar2 implemented trait Copy a second instance would be instantiated and consumed,10
42,Sometimes,Sometimes,Most of the time,Most of the time,Sync+Send traits,Yes,No,C3,"116: *r3,117: +=,118: 1;",0,7,cannot assign to [X] because it is borrowed,0,3,9,"The entire array of out1 is borrowed by the assignment to r1, not merely the element specified.  It is impermissible to then borrow it immutably while there are still references to the borrowed element.",8.4,D3,"126: f3(,127: &mut,128: bar2);",1,8,cannot borrow [X] as mutable more than once at a time,1,2,9,"Because of the lifetime specification of f3 requiring that the output has the same lifetime as the input, the output is still being held by the first call to f3.",4.8
43,Sometimes,Never,Most of the time,Always,"type system.~$br$~In languages like C, we almost only working with int, float, double, or their pointer, when dealing with an array, we manage all the pointer and index with no bounds check by default.~$br$~~$br$~In Rust, things are more differently: Rust enable bound checking by default, if we still using pointer or index, we are probably under a performance penalty. A beautiful solution maybe using some abstraction, (e.g., iter, or struct which implies Iterator trait)~$br$~send std::iter::Iter into a function may not too complex, but if we want to send something like:~$br$~let a=vec![1_i32,2,3,4,5];~$br$~let _=fun(&mut a.iter().filter(|&x|x!=4).map(|x|x*2+1) );~$br$~it is not easy to define the `fun` we want to use.~$br$~the best solution might be using generics, but things become a little bit tricky here:~$br$~`fn fun<T:Iterator<Item=i32>>( iter:&mut T )->i32{...}`~$br$~when we accidentally wrote a `fun(&mut iter)` inside the `fn fun`(just what we did in the statement `let _=fun(&mut a.iter().filter(|&x|x!=4).map(|x|x*2+1) );`), the compiler would generate an error with almost no help.",No,Yes,C1_e,"126: out1.a[0].in_a,,128: out1.a[1]",1,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"currently rust cannot borrow two different item from the same array, since the index may be the same.~$br$~~$br$~the code is `test(&mut out1.a[0].in_a, &out1.a[1]);`~$br$~if we wrote `test(&mut out1.a[1].in_a, &out1.a[1]);`, the problem is definitely ~$dq$~cannot borrow `out1.a[_]` as immutable because it is also borrowed as mutable~$dq$~.~$br$~~$br$~now compiler could not identify whether we index two different parts in a array, several versions before, compiler could not identify whether we are using different parts in a same struct, but such problem was fixed.",10,D3,108: bar.x,0,1,cannot use [X] because it was mutably borrowed,0,3,5,"12      fn f4() {~$br$~13          let foo = Foo {};~$br$~14          let mut bar2 = Bar2 { x: &foo, i: 1 };~$br$~               /*omit*/~$br$~20          let f3: for<'a> fn(&'a mut Bar2<'a>) -> &'a Foo = /*omit*/~$br$~25          let excerpt = f2(&bar2, ~$dq$~An online article~$dq$~, 2);~$br$~26          println!(~$dq$~{}~$dq$~, excerpt);~$br$~27          f3(&mut bar2);//this should be, f3(&'a mut bar2), we borrow bar2 as long as bar2 is alive, thus we could not borrow bar2 anymore.~$br$~28          let z = f3(&mut bar2);~$br$~29      }~$br$~30  }",8.4
44,Sometimes,Sometimes,Most of the time,Always,"Including modules in crates, referencing a crate's lib modules from bin or test modules~$br$~Package management, especially selecting features of dependencies",No,Yes,C2,"117: out1.a[1],",1,5,"cannot move out of  [X], a non-copy [X]",1,4,9,"test() takes ownership of the Inner it is passed, so it must be moved out of out1.a[1]. Whereas tuples and structs support partial moves (where one field is moved out and the others are dropped later), arrays do not. Since the out1.a array outlives the call to test(), it must still own all its elements. Therefore, it is possible to copy out1.a[1] into test() but not to move it.",10,D1,36: &'b,1,8,cannot borrow [X] as mutable more than once at a time,1,4,6,"f1() requires an excessively long lifetime for its argument: the Bar2 must be borrowed for the same lifetime as the Foo, even though it only needs to be borrowed for the duration of the call to f1(). Each time bar2.f1() is called, it takes a mutable borrow of bar2 that lasts for the lifetime of the variable foo, so these two mutable borrows overlap. This violates Rust's rule that mutable borrows must be exclusive.",10
45,Most of the time,Sometimes,Sometimes,Most of the time,"Getting trait bound errors because some crate or module isn't in scope. When trying to write code from scratch using a crate without examples, it's often times unclear if what I'm trying to do is possible and I'm just missing a `use` statement, or if it's not possible. ~$br$~~$br$~The type inference can sometimes be confusing, because seemingly unrelated changes can cause other code to break. I rely heavily on my IDE to indicate to me what the type being inferred is. I tried to get in the habit of explicitly typing variables, but often times the type is a generic that requires a bunch of other imports.~$br$~~$br$~Async support feels like alpha-quality right now. There is not one single runtime/executor, and often times I have to make an effort to use crates which don't have conflicting runtimes. There is not built-in support for async traits, and no built-in support for async test functions. My current approach is to do everything I can to avoid async functions, since it's much easier to make a sync function async than make an async function sync.~$br$~~$br$~While macros are very powerful and can help avoid boilerplate code, they can hide a lot of inner-workings that make them difficult to reason about. `cargo expand` can show me the expanded code, but I would rather have support within an IDE to see what a section expands to. In addition, documentation often just has examples that use the macro (such as #[tokio::main]) and don't show you how to implement the same functionality without the macro.",No,Yes,C1_e,"126: out1.a[0].in_a,,127: &,128: out1.a[1]",1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,6,8,"Rust allows either any number of references to an immutable value, or a single mutable reference. Since both parameters to `test` refer to the same variable, and you cannot borrow a single field as mutable and another as immutable, we get this above error.",5.8,D2,115: bar2.f1();,1,8,lifetime of reference outlives lifetime of borrowed content,0,3,8,Parameters that aren't references or don't implement copy are moved into the function scope. Usually you would use `fn bar(&self)` to prevent the move. The `self` parameter is ~$dq$~consumed~$dq$~ in that its ownership is passed to `f1` and thus dropped at the end of the function.,10
46,Most of the time,Sometimes,Most of the time,Always,None,No,No,C1,125: &mut,1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,7,8,First call of function >test< contradicts Rust's ownership rules because it takes an immutable and mutable referene to the same object.,5.8,D2,120: bar2.f1();,1,4,use of moved value: [X],1,6,4,Second call of method 'f1' contradicts rust's ownership rule system because first call takes 'self'.,8.4
47,Most of the time,Most of the time,Sometimes,Never,Most features/rule confuse me.,Yes,Yes,C3,100: out2.a.0.in_a;,0,10,Prefer not to answer,0,9,3,immutable error occurs,3,D2,120: bar2.f1();,1,8,cannot use [X] because it was mutably borrowed,0,7,3,~$dq$~bar2~$dq$~ cannot be borrowed as a mutable more then once at a time.,3
48,Sometimes,Sometimes,Sometimes,Most of the time,* Higher-rank trait bounds~$br$~* Pinning,No,Yes,C1,128: out1.a[1],1,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,5,8,It is impossible to simultaneously have a mutable and immutable reference to `out1.a` since code given an immutable reference should be able to assume the data will be unchanged while the reference is held.,7.6,D1,121: bar2.f1();,1,7,cannot use [X] because it was mutably borrowed,0,3,6,"`bar2` is mutably borrowed by the `bar2.f1()`, and remains borrowed since the function returns a reference with the same lifetime. Like the previous example, code with a reference should be able to assume the referenced data is not mutated, and if there is another mutable reference, that cannot be assumed. ",7.6
49,Never,Never,Most of the time,Most of the time,Generic Associated Types and other type-level features.,No,Yes,C3,105: &out1.a[1];,1,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,8,"The slice out1.a is already borrowed mutably (i.e. it can be mutated by reference). Since only a single borrow can occur when it is mutable to avoid data races and concurrent modifications, it is forbidden to borrow it immutably. While this particular program is valid, the Rust compiler treats slices as a standalone type and as such does not understand that no data races can exist between out1.a[0] and out1.a[1].",10,D2,120: bar2.f1();,1,3,use of moved value: [X],1,1,8,"The f2 function on the Bar struct takes ownership of the bar value. The second call to f2 thus would use a dropped value, which is undefined behaviour and breaks memory safety rules.",8.4
50,Sometimes,Never,Most of the time,Most of the time,Modules and macros.,No,Yes,C1_e,"44: (num:,45: &mut,46: u8,,47: inner:,48: &Inner),125: &mut,126: out1.a[0].in_a,,127: &,128: out1.a[1],133: &mut,134: out2.a.0.in_a,,135: &,136: out2.a.1",0.5,10,two closures require unique access to [X] at the same time,0,8,10,This program violates rust's borrow checker rules because the entire array of a is borrowed as a whole even though the code is only using parts of the array. This means that the array is being borrowed both immutably and mutably which is unsafe.,10,D1_e,"54: <'a>,56: s:,57: &'a,58: str,,62: &'a,63: str,107: ~$dq$~An,108: online,109: article~$dq$~,,114: excerpt);",0,10,the parameter type [X] may not live long enough,0,9,9,"The first call of f1 takes a mutable reference to bar2 with lifetime b. On the next line, a second mutable reference is made to the same bar2. This is unsafe because the data at the address of the bar2 could have changed or have been removed which would make the action unsafe.",7.6
51,Sometimes,Sometimes,Sometimes,Most of the time,I find the macros by example syntax confusing.,No,Yes,C3,105: &out1.a[1];,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,10,"On line 24, I create a mutable reference to the array out1.a. On line 26, I attempt to create an immutable reference to the same array. Rust prevents me from having both a mutable and an immutable reference to the same array.",7.6,D2,120: bar2.f1();,1,5,use of moved value: [X],1,2,10,"The first call to method f1 on line 30 ~$dq$~moves~$dq$~ or ~$dq$~consumes~$dq$~ the bar2 object. bar2 may no longer be used after line 30. However, the program attempts to reuse bar2 on line 31.",8.4
52,Most of the time,Sometimes,Sometimes,Most of the time,"Closures, Channels, Arcs",Yes,No,C1_e,"126: out1.a[0].in_a,",1,9,Prefer not to answer,0,7,5,"Not actually sure what the error is. I understand that the part underlined in red arrows is doing an immutable borrow, but I'm not sure how the function `test` is doing a mutable borrow on the `Inner` struct as there is no `mut` keyword next to it like the `num` param.~$br$~~$br$~In short: I lack the understanding of how that function is doing a mutable borrow on `inner`",4.2,D1_e,73: s[..ind],0,9,Prefer not to answer,0,2,9,"The method `f1` mutates `self`, calling it multiple times leads to multiple mutable borrows of the same variable or instance of memory the variable uses. ~$br$~~$br$~My understanding is that this is not allowed by Rust as to prevent the user of the language from making unsafe changes to the same underlying piece of memory unintentionally.~$br$~~$br$~Rust highlights the code to give the user a clear example of the unsafe practice.~$br$~~$br$~",5.8
53,Sometimes,Most of the time,Most of the time,Most of the time,traits especially advanced traits~$br$~,No,No,C3,"112: *r1,113: +=,114: 1;,116: *r3,117: +=,118: 1;",0.25,8,cannot assign to [X] because it is borrowed,0,9,2,"out1.a[1] may be changed by out1.a[0], so this is not allowed",4.8,D1,"118: let,119: z,120: =,121: bar2.f1();",1,10,wrong number of type arguments,0,10,9,A mutable variable cannot be borrowed twice.,4.2
54,Sometimes,Sometimes,Most of the time,Most of the time,Traits.,Yes,No,C3,43: main(),0,5,cannot assign to [X] because it is borrowed,0,7,7,Accessing elements outside the array.,3,D2,128: main(),0,8,"closure may outlive the current function, but it borrows [X], which is owned by the current function",0,8,8,The function returns a value that does not match any pattern.,3
55,Sometimes,Sometimes,Most of the time,Always,"Trait objects, The unsafe rust magic where the safety rules don't apply, ",No,Yes,C2,"44: inner:,45: Inner,,117: out1.a[1],,124: out2.a.1,",0.5,5,"cannot move out of  [X], a non-copy [X]",1,4,9,"out1 owns two Inner elements. test() takes the value of an Inner as its first argument. The error occurs because test expects the value of an Inner, and out.a[1] cannot move a value out of the array. ",6,D2,"36: self,91: let,92: bar2,94: Bar2,96: x:,97: &foo,,98: i:,99: 1",0.125,4,use of moved value: [X],1,4,9,"Rust moves values by default, and so calling f1() moved the value of bar2 out of f4() and into f1(). f1() goes out of scope and the value of bar2 is dropped. Then later on in f4(), bar2 is used again, but since it is moved, there is no guarantee of what will be present at the memory address of bar2 anymore since it was moved. Thus the compiler warns us, preventing a use after free .",8.4
56,Sometimes,Sometimes,Sometimes,Sometimes,"There aren't many issues, but there are few things that I forget here and there.",Yes,No,C1,128: out1.a[1],1,4,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,8,"out1 is used an an immutable so it can not be borrowed as a mutable. On line 32, it is trying to be used an an immutable, but a previous entry has already used out1 as a mutable.",5.8,D3,135: bar2);,1,4,cannot borrow [X] as mutable more than once at a time,1,4,8,bar2 has ready been used once in a pervious entry.,3
57,Sometimes,Sometimes,Most of the time,Sometimes,traits,No,Yes,C2,77: {in_a:,0,5,lifetime of reference outlives lifetime of borrowed content,0,6,6,I can't solve the problem yet,0,D3,17: Bar2<'b>,0,5,the parameter type [X] may not live long enough,0,6,6,Safety rules were violated,3
58,Sometimes,Never,Most of the time,Always,the build script,No,No,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,9,"out1.a is already borrowed to r1 as mutable, which means until r1 is dropped, r2 cannot borrow from out1.a again.",7.6,D2,120: bar2.f1();,1,2,use of moved value: [X],1,1,9,"bar2.f1() already consumed bar2 in line 30, thus line 31 try to use a moved value.",8.4
59,Never,Never,Always,Always,"Complex trait bounds can get quite hard to parse when you have multiple clauses with associated types and lifetimes. ~$br$~~$br$~For example, here's a beauty from `ndarray`:~$br$~~$br$~```rust~$br$~impl<'a, A, B, S, S2, D, E> Div<&'a ArrayBase<S2, E>> for ArrayBase<S, D> where~$br$~    A: Clone + Div<B, Output = A>,~$br$~    B: Clone,~$br$~    S: DataOwned<Elem = A> + DataMut,~$br$~    S2: Data<Elem = B>,~$br$~    D: Dimension,~$br$~    E: Dimension { ... }~$br$~```~$br$~~$br$~Luckily you don't see this too often in the wild. ~$br$~~$br$~It normally happens when someone needs to be *really* generic or they are trying to ~$dq$~thread the needle~$dq$~ with traits. I'd say this isn't a fault of the language, and more that the author wrote overly complicated/generalised code or the problem domain is just really complex. The language just gives you the power to express these complicated relationships.~$br$~~$br$~Some people have trouble wrapping their heads around higher-ranked trait bounds (`fn foo<F>(func: F) where F: for<'a> Fn(&'a u32)`), but once you explain that they've been using it all along hidden behind syntactic sugar (the version with lifetime elision would be ` F: Fn(&u32)`) they usually pick it up. You can also get a good understanding by just reading it out loud in english (~$dq$~for any lifetime `'a`, `F` is a function which takes a `&'a u32`~$dq$~).",No,Yes,C3,105: &out1.a[1];,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"When you create `r1` you index into the `out1.a` array, and indexing borrows the entire array (the signature with lifetime annotations is `fn index_mut<'this>(&'this mut self, index: usize) -> &'this Self::Item`). That means `out1` is borrowed mutably for the entire time `r1` is alive (i.e. between creation and last use).~$br$~~$br$~Later on we try to create `r2` by immutably indexing into the same array. The `r1` variable is still alive at this point (it is used a couple lines later), so we end up trying to borrow something immutably while it is already borrowed mutably.",10,D2,120: bar2.f1();,1,1,use of moved value: [X],1,1,10,"The `Bar2::f1()` method takes `self` by value, consuming it in the process.~$br$~~$br$~On line 30 we call `bar2.f1()`, and because `Bar2` isn't a `Copy` type this consumes the `bar2` variable (if `Bar2<'_>: Copy` then we'd consume a copy of `bar2` instead of the original). Then on line 31 we try to use something which has already been used and destroyed, so `rustc` says ~$dq$~no~$dq$~ to prevent a use-after-free.~$br$~~$br$~The compiler shows us the lifetime of `bar2` by highlighting where it was created and where it was consumed (lines 27 and 30, respectively), then it highlights the line where we use `bar2` after it is moved because that is the line that was actually blocked by the compiler. The `f1()` definition gets highlighted as a kind of FYI (~$dq$~here's `f1`'s signature and you can see it consumes `self`~$dq$~).",10
60,Most of the time,Sometimes,Most of the time,Most of the time,"Regarding ownership/borrowing, usually I understand the problem, but not how to solve it. The confusing part is when it is appropriate to use Box, Rc, Arc, Cow, etc, or how to rearrange the structure of my program to avoid lifetime issues. Lifetime annotation syntax takes some getting used to.~$br$~~$br$~Traits like AsRef, Into are sometimes confusing.",No,Yes,C2,"117: out1.a[1],,124: out2.a.1,",0.5,3,"cannot move out of  [X], a non-copy [X]",1,1,7,"Values can only have one ~$dq$~owner~$dq$~.  test() tries to take ownership, but it cannot, because the values are owned by ~$dq$~out1~$dq$~ and ~$dq$~out2~$dq$~",4.2,D2,"115: bar2.f1();,120: bar2.f1();",1,3,use of moved value: [X],1,2,8,"When a type is passed by value (rather than reference), and the type cannot be copied bitwise in a safe way (such any value containing a pointer), then Rust enforces ~$dq$~destructive move~$dq$~ semantics.~$br$~~$br$~The ownership of the value is ~$dq$~moved~$dq$~ into the new context where it has been passed.  If the ownership is not maintained by being returned and re-assigned it to some variable, then the value will be destroyed once it's ownership is abandoned.~$br$~~$br$~Bar2::f1(self) takes ownership of variable ~$dq$~bar2~$dq$~ when called, and it does not return the value. Hence, the value bound to ~$dq$~bar2~$dq$~ is destroyed once bar2.f1() is called.  When line 31 calls bar2.f1() a second time the value bound to ~$dq$~bar2~$dq$~ no longer exists, and hence this second call is invalid.",10
61,Sometimes,Never,Sometimes,Always,"TRAIT OBJECTS!  I don't know why, but I always struggle to get them working",Yes,Yes,C2,"117: out1.a[1],",1,5,"cannot move out of  [X], a non-copy [X]",1,2,10,"The ~$dq$~Copy~$dq$~ trait is impl'd in order to clone-wise copy a struct rather than creating a reference to it.  What test is doing is attempting to access out1.a[1], but because it's a value type that can't be copied due to not implementing the Copy trait, the compiler is pretty stuck at this point as the only other choice available to it is to move the value instead, which can't be done",7.6,D1,"116: bar2.f1();,121: bar2.f1();",1,6,cannot borrow [X] as mutable more than once at a time,1,2,10,"Part of Rust's safety is inherent in the fact that only one mutable reference may exist at a time.  In this particular case, it's coming into conflict due to the lifetimes being tied to one another.  When we call bar2.f2 and place the result into excerpt, that ties bar2's lifetime to excerpt, which lives for the entire scope of this function.  We then try to acquire another mutable ref, but as excerpt is still alive, z cannot have it here.",5.8
62,Always,Sometimes,Sometimes,Most of the time,Unsafe~$br$~Async,No,Yes,C2,"116: test(,117: out1.a[1],,118: &,119: mut,120: out1.a[0].in_a",1,3,cannot assign to [X] because it is borrowed,0,7,6,From my understanding the test call has both an mutable reference to a data and also wants to take the ownership of it which can't be allowed so it tries to copy the data needed but for that Copy trait needs to be implemented which is not,4.2,D3,144: {},0,10,Prefer not to answer,0,1,1,We can have only one mutable borrow at a time,5.8
63,Sometimes,Never,Most of the time,Always,No others,No,Yes,C3,109: =,0,9,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Cannot borrow variable as immutable and mutable as the same time, may cause unexpected result when access the variable in multiple threading situation.",5.8,D2,120: bar2.f1();,1,10,the parameter type [X] may not live long enough,0,1,10,The complier cannot determine whether a variable live long enough.,3
64,Sometimes,Never,Most of the time,Most of the time,I think there is none.,No,Yes,C2,"120: out1.a[0].in_a,127: out2.a.0.in_a",0,5,use of moved value: [X],0,4,7,Actually i think this should give a different error. Both parameters given to `test` fn call is owned by the same object. First parameter could move object partially and second one should give an error like ~$dq$~Cannot borrow mutably a partially moved object~$dq$~ or something better.,4.2,D3,"128: bar2);,135: bar2);",1,8,lifetime of reference outlives lifetime of borrowed content,0,9,5,I thought this shouldn't be the case with non-lexical lifetimes.,3
